연도,월,연월,수출입구분,수출입구분설명,물동량
2004,3,2004-03,II,수입,296018
2003,10,2003-10,II,수입,270576
2002,4,2002-04,OT,수출환적,150900.25
2005,2,2005-02,II,수입,242101.75
2005,8,2005-08,OT,수출환적,221815.25
2008,11,2008-11,OO,수출,283639.25
2008,10,2008-10,II,수입,320349.25
2009,6,2009-06,OO,수출,280292.25
2010,8,2010-08,OO,수출,334144.25
2011,8,2011-08,II,수입,362157.25
2018,6,2018-06,II,수입,420765.75
2013,1,2013-01,OO,수출,371701
2013,11,2013-11,OO,수출,365656.75
2012,8,2012-08,II,수입,354049
2016,10,2016-10,IT,수입환적,409898.5
2015,5,2015-05,OT,수출환적,422003.75
2015,5,2015-05,IT,수입환적,418331.75
2021,6,2021-06,OO,수출,437709
2022,10,2022-10,II,수입,415373.75
2020,5,2020-05,OT,수출환적,493665
2020,6,2020-06,II,수입,372339.5
2023,8,2023-08,OT,수출환적,515535.5
2024,11,2024-11,IT,수입환적,571301.25
1992,1,1992-01,OO,수출,104567
1992,4,1992-04,II,수입,99261
1994,6,1994-06,OO,수출,141944
1995,11,1995-11,II,수입,172759
1997,4,1997-04,II,수입,218448.75
1998,3,1998-03,OO,수출,223051
2002,7,2002-07,II,수입,225190.75
2003,1,2003-01,OO,수출,242921.25
2005,7,2005-07,IT,수입환적,228044.25
2008,6,2008-06,OO,수출,292497
2009,1,2009-01,OO,수출,225031
2010,10,2010-10,OT,수출환적,235375
2018,6,2018-06,OO,수출,424504.5
2012,6,2012-06,II,수입,376794
2012,6,2012-06,IT,수입환적,339398
2018,8,2018-08,OO,수출,389634
2018,7,2018-07,IT,수입환적,492572.5
2015,10,2015-10,IT,수입환적,440174.25
2016,3,2016-03,IT,수입환적,409847
2019,6,2019-06,OT,수출환적,492182
2021,8,2021-08,OT,수출환적,508770.5
2022,1,2022-01,IT,수입환적,547873.5
2019,8,2019-08,OO,수출,416340.5
2022,7,2022-07,OT,수출환적,547678.25
2024,7,2024-07,IT,수입환적,571818.25
2004,5,2004-05,IT,수입환적,209813.5
2004,10,2004-10,OT,수출환적,208500.25
2007,1,2007-01,IT,수입환적,218088
2006,11,2006-11,IT,수입환적,222866.25
2007,10,2007-10,IT,수입환적,246333.25
2012,5,2012-05,IT,수입환적,368941.75
2012,1,2012-01,OO,수출,340606
2013,1,2013-01,II,수입,336745.25
2017,12,2017-12,II,수입,428973
2023,1,2023-01,OT,수출환적,493326.25
2024,12,2024-12,OT,수출환적,569233.75
2022,6,2022-06,IT,수입환적,499835.75
2020,7,2020-07,OT,수출환적,484791
2020,8,2020-08,OT,수출환적,477520
1992,3,1992-03,II,수입,105276
1992,10,1992-10,II,수입,103072
1995,5,1995-05,OO,수출,166615.25
