연도,월,연월,수출입구분,수출입구분설명,물동량
2006,8,2006-08,IT,수입환적,222744.75
2010,6,2010-06,IT,수입환적,265433.5
2010,7,2010-07,OO,수출,345973.5
2011,1,2011-01,OT,수출환적,263012
2011,1,2011-01,IT,수입환적,283181.25
2013,12,2013-12,OT,수출환적,377141.75
2014,1,2014-01,OT,수출환적,389979.75
2017,3,2017-03,OT,수출환적,421985.5
2015,7,2015-07,II,수입,378943.75
2020,4,2020-04,II,수입,438033.75
2019,3,2019-03,OO,수출,469491
2018,11,2018-11,OO,수출,431402
2021,10,2021-10,OT,수출환적,550325.25
2020,11,2020-11,OO,수출,431403.5
2022,4,2022-04,IT,수입환적,498740.5
2022,12,2022-12,OO,수출,400011
2023,7,2023-07,OT,수출환적,502122.25
2023,10,2023-10,II,수입,428694
2023,10,2023-10,OO,수출,432831
1993,9,1993-09,II,수입,119495
1994,2,1994-02,II,수입,138927
1995,7,1995-07,OO,수출,162597.25
1997,3,1997-03,OO,수출,195430.5
2004,7,2004-07,OO,수출,279055.25
2002,11,2002-11,OT,수출환적,171547.75
2003,11,2003-11,OT,수출환적,158386.5
2007,2,2007-02,II,수입,289955.25
2006,9,2006-09,IT,수입환적,206563.75
2009,1,2009-01,II,수입,237676.25
2010,6,2010-06,II,수입,344210.75
2013,5,2013-05,OT,수출환적,366720
2018,1,2018-01,OT,수출환적,425516.75
2012,2,2012-02,II,수입,338408.75
2014,7,2014-07,IT,수입환적,399026.5
2016,9,2016-09,OO,수출,381080
2016,9,2016-09,II,수입,408148.5
2015,11,2015-11,IT,수입환적,390418
2015,10,2015-10,OO,수출,365617.5
2019,10,2019-10,OO,수출,431884.25
2021,9,2021-09,OO,수출,400622
2021,10,2021-10,II,수입,453203.25
2021,6,2021-06,OT,수출환적,522108.75
2022,10,2022-10,OO,수출,437823.25
2019,5,2019-05,II,수입,452986.5
2020,10,2020-10,IT,수입환적,532936
2022,6,2022-06,OO,수출,390666.5
2022,3,2022-03,II,수입,470454.25
2023,5,2023-05,IT,수입환적,515304.25
1992,11,1992-11,II,수입,107334
1992,11,1992-11,OO,수출,117410
1996,11,1996-11,II,수입,196901.25
2000,5,2000-05,II,수입,320050
2002,6,2002-06,IT,수입환적,168916.5
2003,3,2003-03,II,수입,277300.25
2004,11,2004-11,OT,수출환적,214212.75
2005,4,2005-04,OO,수출,287656.5
2006,3,2006-03,OO,수출,312847.75
2007,8,2007-08,OO,수출,301392.25
2013,8,2013-08,OT,수출환적,361309
2017,12,2017-12,OT,수출환적,438385.75
2014,9,2014-09,OT,수출환적,377594.75
2015,11,2015-11,OO,수출,379828.25
2024,12,2024-12,IT,수입환적,593917.5
2023,12,2023-12,OT,수출환적,508213.25
2019,4,2019-04,OT,수출환적,485345.25
2020,7,2020-07,OO,수출,416463
1993,10,1993-10,OO,수출,122713
1996,2,1996-02,OO,수출,140084
1997,6,1997-06,II,수입,215996.5
1997,11,1997-11,II,수입,224901.25
1998,5,1998-05,II,수입,256127.75
2003,3,2003-03,OT,수출환적,185965
2003,4,2003-04,OO,수출,261615
2003,10,2003-10,OO,수출,279538.5
2004,5,2004-05,II,수입,273897.5
2006,1,2006-01,IT,수입환적,226575.5
2005,9,2005-09,OT,수출환적,210386.25
2006,8,2006-08,II,수입,273333.5
2008,3,2008-03,IT,수입환적,254401
2008,5,2008-05,II,수입,353487
2008,1,2008-01,IT,수입환적,235039
2009,9,2009-09,IT,수입환적,233467
2010,3,2010-03,OT,수출환적,262912.75
2011,3,2011-03,OT,수출환적,295078.5
2011,4,2011-04,OT,수출환적,297131
2011,7,2011-07,OO,수출,395097.25
2017,12,2017-12,IT,수입환적,437003
2012,4,2012-04,IT,수입환적,370612.75
2012,10,2012-10,IT,수입환적,352922.5
2017,5,2017-05,OT,수출환적,452032.5
2016,11,2016-11,IT,수입환적,388727.25
2014,6,2014-06,OO,수출,404555.75
2016,9,2016-09,OT,수출환적,382237.75
2020,7,2020-07,II,수입,383619
2020,12,2020-12,II,수입,426819.75
2020,8,2020-08,II,수입,366373.5
2024,2,2024-02,OT,수출환적,530238
2024,7,2024-07,OT,수출환적,589093.25
1993,7,1993-07,OO,수출,130073
1996,2,1996-02,II,수입,174846.25
1998,10,1998-10,OO,수출,202959.25
2000,5,2000-05,OO,수출,235889.5
2001,10,2001-10,II,수입,207933.5
2002,4,2002-04,II,수입,234712.75
2004,4,2004-04,II,수입,277930.25
2005,3,2005-03,IT,수입환적,228863.5
2008,1,2008-01,II,수입,301559
2009,7,2009-07,II,수입,283911.75
2016,11,2016-11,OO,수출,426670.5
2018,7,2018-07,OO,수출,442369
2015,1,2015-01,OT,수출환적,418702.25
2015,10,2015-10,II,수입,404191.25
2024,1,2024-01,OT,수출환적,547360.25
2020,11,2020-11,IT,수입환적,544148.25
2022,5,2022-05,II,수입,476575.75
2020,6,2020-06,OO,수출,392116.5
2023,7,2023-07,OO,수출,449244.25
2025,1,2025-01,IT,수입환적,635437
2024,9,2024-09,OO,수출,411162
2023,11,2023-11,II,수입,447190
1995,8,1995-08,II,수입,178208.75
1999,9,1999-09,OO,수출,205315.75
2001,6,2001-06,IT,수입환적,123080.5
2001,9,2001-09,OO,수출,224912.5
2003,6,2003-06,OT,수출환적,177471.75
2007,11,2007-11,OT,수출환적,218122
2008,4,2008-04,II,수입,349265.5
2009,12,2009-12,OO,수출,307388.25
2013,7,2013-07,OO,수출,380488.75
2012,8,2012-08,OO,수출,343704
2017,4,2017-04,OO,수출,447652.25
2017,4,2017-04,II,수입,443640.5
2015,6,2015-06,OO,수출,391738.5
2015,8,2015-08,OT,수출환적,431787.25
2016,6,2016-06,II,수입,384658.25
2016,4,2016-04,II,수입,397720
2016,4,2016-04,OO,수출,396843.25
2015,5,2015-05,OO,수출,404982.25
2018,4,2018-04,OO,수출,441613.75
2021,7,2021-07,OT,수출환적,523913.75
2023,11,2023-11,OO,수출,473899
1997,8,1997-08,OO,수출,176521.75
2001,7,2001-07,OT,수출환적,116194.5
2002,1,2002-01,OT,수출환적,140230.75
2006,12,2006-12,OO,수출,287078.25
2006,7,2006-07,OT,수출환적,219023
2008,11,2008-11,II,수입,292162
2008,5,2008-05,OT,수출환적,251787.5
2007,12,2007-12,II,수입,347363
2011,6,2011-06,OO,수출,360154
2017,9,2017-09,IT,수입환적,409375
2012,10,2012-10,II,수입,374651
2013,12,2013-12,IT,수입환적,401927
2014,6,2014-06,IT,수입환적,411060.5
2014,2,2014-02,OT,수출환적,350400.25
2025,2,2025-02,IT,수입환적,533568.75
2018,5,2018-05,OO,수출,436825
2022,4,2022-04,OO,수출,463717.5
2020,7,2020-07,IT,수입환적,480142.25
2021,2,2021-02,II,수입,381898
2023,10,2023-10,OT,수출환적,496123.25
2024,2,2024-02,II,수입,401077
1992,5,1992-05,OO,수출,126586
1993,1,1993-01,II,수입,95493
1993,6,1993-06,II,수입,109070
1993,9,1993-09,OO,수출,143739
1995,12,1995-12,II,수입,200631.75
1998,7,1998-07,II,수입,252941.25
1999,6,1999-06,II,수입,263670.75
2000,7,2000-07,II,수입,318831
2000,7,2000-07,OO,수출,222427
2001,5,2001-05,II,수입,224711.5
2001,10,2001-10,IT,수입환적,130982.5
2003,3,2003-03,OO,수출,275422.75
2004,5,2004-05,OO,수출,299398.5
2002,6,2002-06,OO,수출,233104.5
2007,1,2007-01,OT,수출환적,219675
2007,10,2007-10,II,수입,314292.5
2008,12,2008-12,II,수입,270589.5
2008,12,2008-12,IT,수입환적,227023.75
2007,12,2007-12,IT,수입환적,228319.25
2008,1,2008-01,OO,수출,308838.75
2008,9,2008-09,OO,수출,315799.5
2010,3,2010-03,II,수입,327393.5
2009,12,2009-12,OT,수출환적,242988.25
2011,12,2011-12,IT,수입환적,343588.5
2017,5,2017-05,IT,수입환적,450470.5
2019,10,2019-10,II,수입,425932.25
2024,1,2024-01,OO,수출,457956
2023,12,2023-12,IT,수입환적,510556
2021,12,2021-12,OT,수출환적,492612.75
2020,10,2020-10,II,수입,414411.5
2019,1,2019-01,OT,수출환적,465374
2023,7,2023-07,II,수입,423073.25
1994,3,1994-03,OO,수출,152621
1994,11,1994-11,OO,수출,151472
1999,2,1999-02,II,수입,218236.75
2002,10,2002-10,OT,수출환적,166984
2007,1,2007-01,OO,수출,299578.5
2006,10,2006-10,IT,수입환적,221126
2003,12,2003-12,IT,수입환적,189321.5
2007,10,2007-10,OO,수출,315688.5
2010,2,2010-02,II,수입,277412.75
2010,8,2010-08,OT,수출환적,274343
2017,8,2017-08,IT,수입환적,431993
2014,1,2014-01,IT,수입환적,408239
2014,6,2014-06,II,수입,381016.75
2016,5,2016-05,OO,수출,409844
2015,11,2015-11,OT,수출환적,405047.5
2019,10,2019-10,IT,수입환적,525100.5
2024,4,2024-04,II,수입,470115
1992,8,1992-08,OO,수출,119980
1994,11,1994-11,II,수입,163677
1995,9,1995-09,OO,수출,149861.25
1996,10,1996-10,II,수입,198516.75
1997,11,1997-11,OO,수출,193773.25
2004,6,2004-06,OO,수출,285461.5
2003,1,2003-01,OT,수출환적,178068.5
2003,8,2003-08,IT,수입환적,175532
2005,1,2005-01,OT,수출환적,220001
2006,9,2006-09,II,수입,289097.5
2007,6,2007-06,OO,수출,305095.25
2009,10,2009-10,OT,수출환적,242531.25
2009,3,2009-03,II,수입,264949.25
2010,10,2010-10,II,수입,330180.75
2013,11,2013-11,II,수입,366304.5
2012,10,2012-10,OT,수출환적,343934.75
2015,1,2015-01,IT,수입환적,430654
2018,3,2018-03,OT,수출환적,430690
2021,1,2021-01,OT,수출환적,502766.5
2024,5,2024-05,IT,수입환적,585265.75
2025,1,2025-01,II,수입,468006.5
2023,11,2023-11,IT,수입환적,520689
1994,4,1994-04,II,수입,154619
1994,4,1994-04,OO,수출,140705
2001,12,2001-12,IT,수입환적,140248
2004,8,2004-08,II,수입,256679.75
2005,11,2005-11,II,수입,296792.75
2007,1,2007-01,II,수입,302440
2008,5,2008-05,OO,수출,332916
2007,6,2007-06,IT,수입환적,270136.75
2007,5,2007-05,OT,수출환적,264736
2008,10,2008-10,IT,수입환적,232641.5
2009,9,2009-09,OO,수출,295699.5
2011,11,2011-11,OT,수출환적,319045.75
2017,3,2017-03,OO,수출,437834
2017,4,2017-04,IT,수입환적,451704
2024,12,2024-12,OO,수출,442416.25
2022,6,2022-06,OT,수출환적,512759.25
2019,1,2019-01,IT,수입환적,488899
2020,8,2020-08,OO,수출,392011.75
2023,2,2023-02,OO,수출,433076
2024,8,2024-08,IT,수입환적,566042.25
2023,5,2023-05,OO,수출,475547.25
1993,2,1993-02,II,수입,97656
1994,3,1994-03,II,수입,142555
1995,9,1995-09,II,수입,176354.25
2001,8,2001-08,OT,수출환적,126355.75
2001,1,2001-01,II,수입,195903.5
2004,5,2004-05,OT,수출환적,211424.75
2003,8,2003-08,OO,수출,231635
2004,8,2004-08,OO,수출,263891.5
2005,5,2005-05,II,수입,281189.25
2006,8,2006-08,OO,수출,275653.25
2008,12,2008-12,OO,수출,271221.25
2007,7,2007-07,IT,수입환적,280260.75
2012,11,2012-11,II,수입,349869.5
2014,4,2014-04,OO,수출,402606.75
2016,11,2016-11,II,수입,407972.75
2015,8,2015-08,II,수입,392268.5
2016,8,2016-08,OO,수출,387606.5
2021,12,2021-12,OO,수출,440907.25
2023,4,2023-04,OT,수출환적,555305.25
2020,4,2020-04,OT,수출환적,504414.75
2019,5,2019-05,OO,수출,448997.5
2022,5,2022-05,IT,수입환적,513340.75
2022,7,2022-07,II,수입,442136.75
1994,12,1994-12,OO,수출,151853
1996,1,1996-01,II,수입,175200.5
1999,10,1999-10,OO,수출,224896.25
2001,8,2001-08,OO,수출,199332.75
2003,5,2003-05,OT,수출환적,182602
2005,10,2005-10,OO,수출,295156.5
2009,4,2009-04,OO,수출,268812.25
2009,4,2009-04,OT,수출환적,228615.25
2010,12,2010-12,OO,수출,350685
2011,2,2011-02,OO,수출,303637.5
2010,9,2010-09,OT,수출환적,248610.5
2018,11,2018-11,IT,수입환적,521497.5
2013,4,2013-04,OO,수출,382755.5
2017,6,2017-06,II,수입,435363.25
2017,12,2017-12,OO,수출,442636.75
2015,7,2015-07,OO,수출,383199.25
2015,7,2015-07,OT,수출환적,423388.75
2018,11,2018-11,II,수입,443138.5
2019,12,2019-12,OT,수출환적,481933
2020,12,2020-12,OO,수출,417955.25
2021,3,2021-03,II,수입,503625
2024,6,2024-06,OT,수출환적,558619
1994,10,1994-10,II,수입,157539
2002,12,2002-12,OO,수출,253389
2004,11,2004-11,IT,수입환적,220576.5
2004,12,2004-12,II,수입,300029.5
2009,2,2009-02,OO,수출,233239.5
2010,9,2010-09,II,수입,327243.25
2011,6,2011-06,IT,수입환적,306717.5
2012,12,2012-12,OT,수출환적,331400.75
2012,2,2012-02,OO,수출,358103.75
2014,8,2014-08,OO,수출,389640
2017,7,2017-07,II,수입,425836
2016,6,2016-06,IT,수입환적,402908.75
2023,1,2023-01,IT,수입환적,525101
2020,12,2020-12,OT,수출환적,507653.25
2024,6,2024-06,IT,수입환적,586779.5
1993,8,1993-08,OO,수출,130712
1994,10,1994-10,OO,수출,155524
1998,12,1998-12,OO,수출,202167.75
2003,4,2003-04,II,수입,275648.25
2002,3,2002-03,OO,수출,251117.5
2005,5,2005-05,OO,수출,293957.5
2006,4,2006-04,OT,수출환적,215943.5
2008,9,2008-09,IT,수입환적,248739
2011,1,2011-01,II,수입,344356.25
2011,1,2011-01,OO,수출,345699.5
2011,10,2011-10,IT,수입환적,343306.25
2013,6,2013-06,IT,수입환적,369360.25
2016,12,2016-12,OT,수출환적,389063.25
2014,12,2014-12,OO,수출,388164.75
2015,8,2015-08,OO,수출,389737.5
2016,4,2016-04,OT,수출환적,393618.5
2023,4,2023-04,IT,수입환적,537680.25
1994,7,1994-07,II,수입,162205
1997,5,1997-05,II,수입,229583.75
2002,5,2002-05,II,수입,235429.25
2002,5,2002-05,OO,수출,241072.75
2004,2,2004-02,II,수입,260254.5
2004,1,2004-01,II,수입,260180.75
2004,1,2004-01,OT,수출환적,190626
2006,3,2006-03,IT,수입환적,237155.75
2007,8,2007-08,IT,수입환적,256980.75
2007,7,2007-07,II,수입,299093.25
2009,5,2009-05,OT,수출환적,214735
2009,3,2009-03,IT,수입환적,225743.75
2011,3,2011-03,II,수입,404526.75
2017,1,2017-01,II,수입,406394
2013,10,2013-10,II,수입,369789.25
2013,10,2013-10,IT,수입환적,365793.5
2017,6,2017-06,IT,수입환적,424992.75
2014,10,2014-10,II,수입,406738.75
2018,12,2018-12,II,수입,425421.25
2021,4,2021-04,OO,수출,436702.25
2023,2,2023-02,II,수입,410605.5
2024,10,2024-10,OO,수출,469171.75
1997,3,1997-03,II,수입,233247
1998,9,1998-09,OO,수출,199630.5
2001,1,2001-01,OT,수출환적,118430.25
2003,4,2003-04,OT,수출환적,198436
2005,1,2005-01,II,수입,272788.25
2005,3,2005-03,OO,수출,299674.5
2010,3,2010-03,OO,수출,336795.5
2011,2,2011-02,IT,수입환적,227346.25
2011,2,2011-02,II,수입,319622.25
2011,8,2011-08,OO,수출,351464
2013,8,2013-08,II,수입,370207
2013,5,2013-05,IT,수입환적,381141
2016,8,2016-08,OT,수출환적,416479.5
2019,7,2019-07,IT,수입환적,497713.25
2021,9,2021-09,IT,수입환적,505652
2020,8,2020-08,IT,수입환적,507380.25
2022,3,2022-03,OT,수출환적,483496.25
1996,1,1996-01,OO,수출,158518
2001,6,2001-06,OO,수출,215325.25
2001,9,2001-09,OT,수출환적,127883
2004,1,2004-01,IT,수입환적,181137.5
2005,3,2005-03,OT,수출환적,221527.25
